"Rk","Player","Nation","Pos","Competition","Squad","Age","Born","noventas","Gls","Sh","SoT","SoT%","Sh_noventa","SoT_noventa","G_Sh","G_SoT","Dist","FK","PK","PKatt","xG","npxG","npxG_Sh","G_xG","npG-xG","Pos_main","Pos_secondary"
77,"Aaron Connolly","IRL","FW","Premier League","Brighton",21,2000,1.7,0,2,0,"0.0","1.15","0.00",0,NA,14.9,0,0,0,0.5,0.5,0.23,-0.5,"-0.5","FW",""
83,"Aaron Cresswell","ENG","DF","Premier League","West Ham",32,1989,12.7,1,9,2,"22.2","0.71","0.16",0.11,"0.50",21.4,5,0,0,0.4,0.4,0.05,0.6,"+0.6","DF",""
623,"Aarón Escandell","ESP","GK","La Liga","Granada",26,1995,3.2,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1658,"Aaron Hickey","SCO","DF","Serie A","Bologna",19,2002,16.1,4,15,9,"60.0","0.93","0.56",0.27,"0.44",22.3,0,0,0,0.6,0.6,0.04,3.4,"+3.4","DF",""
238,"Aaron Lennon","ENG","MFFW","Premier League","Burnley",34,1987,2.1,1,4,1,"25.0","1.91","0.48",0.25,"1.00",26.4,0,0,0,0.2,0.2,0.06,0.8,"+0.8","MF","FW"
1263,"Aarón Martín","ESP","DF","Bundesliga","Mainz 05",24,1997,11.5,0,11,3,"27.3","0.96","0.26",0,"0.00",22.1,2,0,0,0.4,0.4,0.04,-0.4,"-0.4","DF",""
345,"Aaron Ramsdale","ENG","GK","Premier League","Arsenal",23,1998,17,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1829,"Aaron Ramsey","WAL","MF","Serie A","Juventus",31,1990,1.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
456,"Aaron Wan-Bissaka","ENG","DF","Premier League","Manchester Utd",24,1997,14,0,2,1,"50.0","0.14","0.07",0,"0.00",17.1,0,0,0,0.1,0.1,0.03,-0.1,"-0.1","DF",""
2215,"Abdel Jalil Medioub","ALG","DF","Ligue 1","Bordeaux",24,1997,3,0,2,0,"0.0","0.67","0.00",0,NA,28.7,0,0,0,0,0,0.01,0,"0.0","DF",""
627,"Abdessamad Ezzalzouli","MAR","FWDF","La Liga","Barcelona",20,2001,5.3,1,14,3,"21.4","2.62","0.56",0.07,"0.33",16.1,0,0,0,1.2,1.2,0.08,-0.2,"-0.2","FW","DF"
881,"Abdón Prats","ESP","FW","La Liga","Mallorca",29,1992,3.7,1,12,3,"25.0","3.26","0.82",0.08,"0.33",17,2,0,0,1.4,1.4,0.12,-0.4,"-0.4","FW",""
2105,"Abdou Diallo","SEN","DF","Ligue 1","Paris S-G",25,1996,8.5,0,1,1,"100.0","0.12","0.12",0,"0.00",20,0,0,0,0.1,0.1,0.09,-0.1,"-0.1","DF",""
1649,"Abdou Harroui","NED","MF","Serie A","Sassuolo",23,1998,1.6,0,3,0,"0.0","1.87","0.00",0,NA,20.3,0,0,0,0.1,0.1,0.03,-0.1,"-0.1","MF",""
112,"Abdoulaye Doucouré","FRA","MF","Premier League","Everton",29,1993,13,2,21,6,"28.6","1.62","0.46",0.1,"0.33",16.1,0,0,0,1.8,1.8,0.09,0.2,"+0.2","MF",""
1922,"Abdoulaye Touré","FRA","MF","Serie A","Genoa",27,1994,4.8,0,4,0,"0.0","0.84","0.00",0,NA,20.5,0,0,0,0.2,0.2,0.04,-0.2,"-0.2","MF",""
1033,"Abdourahmane Barry","FRA","DF","Bundesliga","Greuther Fürth",21,2000,2.3,0,1,0,"0.0","0.43","0.00",0,NA,23,0,0,0,0,0,0.04,0,"0.0","DF",""
2283,"Abdul Majeed Waris","GHA","MFDF","Ligue 1","Strasbourg",30,1991,2.2,0,5,1,"20.0","2.25","0.45",0,"0.00",19.3,0,0,0,0.4,0.4,0.09,-0.4,"-0.4","MF","DF"
2418,"Aboubakar Sidibé","FRA","FW","Ligue 1","Clermont Foot",25,1996,0.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW",""
2196,"Achraf Hakimi","MAR","DF","Ligue 1","Paris S-G",23,1998,15.8,3,12,5,"41.7","0.76","0.32",0.25,"0.60",15.6,0,0,0,0.9,0.9,0.08,2.1,"+2.1","DF",""
19,"Adam Armstrong","ENG","FWMF","Premier League","Southampton",24,1997,13,2,42,13,"31.0","3.23","1.00",0.05,"0.15",17.1,0,0,0,4,4,0.1,-2,"-2.0","FW","MF"
141,"Adam Forshaw","ENG","MF","Premier League","Leeds United",30,1991,8.2,0,7,2,"28.6","0.85","0.24",0,"0.00",28.9,1,0,0,0.2,0.2,0.02,-0.2,"-0.2","MF",""
191,"Adam Idah","IRL","FW","Premier League","Norwich City",20,2001,3.2,0,5,2,"40.0","1.56","0.62",0,"0.00",10.2,0,0,0,1.3,1.3,0.25,-1.3,"-1.3","FW",""
232,"Adam Lallana","ENG","MF","Premier League","Brighton",33,1988,13.9,0,15,3,"20.0","1.08","0.22",0,"0.00",17.6,0,0,0,1,1,0.07,-1,"-1.0","MF",""
1742,"Adam Marušic","MNE","DF","Serie A","Lazio",29,1992,13.3,0,1,0,"0.0","0.08","0.00",0,NA,32,0,0,0,0,0,0.01,0,"0.0","DF",""
270,"Adam Masina","MAR","DF","Premier League","Watford",28,1994,9.6,0,4,0,"0.0","0.42","0.00",0,NA,14.2,0,0,0,0.2,0.2,0.05,-0.2,"-0.2","DF",""
1781,"Adam Obert","SVK","MFDF","Serie A","Cagliari",19,2002,0.3,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF","DF"
1790,"Adam Ounas","ALG","MFFW","Serie A","Napoli",25,1996,2.8,0,12,2,"16.7","4.24","0.71",0,"0.00",18.8,0,0,0,0.9,0.9,0.07,-0.9,"-0.9","MF","FW"
1412,"Ádám Szalai","HUN","FW","Bundesliga","Mainz 05",34,1987,2.8,1,9,3,"33.3","3.23","1.08",0.11,"0.33",13.5,0,0,0,1,1,0.11,0,"0.0","FW",""
460,"Adam Webster","ENG","DF","Premier League","Brighton",26,1995,7,0,2,0,"0.0","0.29","0.00",0,NA,16.4,0,0,0,0.1,0.1,0.03,-0.1,"-0.1","DF",""
1892,"Adama Soumaoro","FRA","DF","Serie A","Bologna",29,1992,11.3,0,6,1,"16.7","0.53","0.09",0,"0.00",7.2,0,0,0,0.9,0.9,0.15,-0.9,"-0.9","DF",""
437,"Adama Traoré","ESP","FW","Premier League","Wolves",25,1996,11.3,0,21,5,"23.8","1.87","0.44",0,"0.00",19.7,0,0,0,1.8,1.8,0.09,-1.8,"-1.8","FW",""
251,"Ademola Lookman","ENG","FWMF","Premier League","Leicester City",24,1997,7.9,3,12,6,"50.0","1.52","0.76",0.25,"0.50",14.1,0,0,0,2.3,2.3,0.19,0.7,"+0.7","FW","MF"
1990,"Adil Aouchiche","FRA","MFFW","Ligue 1","Saint-Étienne",19,2002,6.1,0,11,5,"45.5","1.81","0.82",0,"0.00",22.3,0,0,0,0.6,0.6,0.05,-0.6,"-0.6","MF","FW"
2386,"Adil Rami","FRA","DF","Ligue 1","Troyes",36,1985,6.4,2,4,2,"50.0","0.62","0.31",0.5,"1.00",7.2,0,0,0,0.7,0.7,0.18,1.3,"+1.3","DF",""
1271,"Admir Mehmedi","SUI","MF","Bundesliga","Wolfsburg",30,1991,0,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
710,"Adnan Januzaj","BEL","FWMF","La Liga","Real Sociedad",26,1995,9.6,1,21,5,"23.8","2.19","0.52",0,"0.00",23.8,5,1,1,1.7,1,0.05,-0.7,"-1.0","FW","MF"
620,"Adri Embarba","ESP","MFFW","La Liga","Espanyol",29,1992,15.7,0,33,12,"36.4","2.10","0.76",0,"0.00",24.2,12,0,0,2.1,2.1,0.06,-2.1,"-2.1","MF","FW"
553,"Adrián Butzke","ESP","FW","La Liga","Granada",22,1999,0,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW",""
1111,"Adrian Fein","GER","MF","Bundesliga","Greuther Fürth",22,1999,0.4,0,1,0,"0.0","2.81","0.00",0,NA,26,0,0,0,0,0,0.02,0,"0.0","MF",""
2181,"Adrian Grbic","AUT","FWMF","Ligue 1","Lorient",25,1996,5.8,1,12,6,"50.0","2.08","1.04",0.08,"0.17",19,4,0,0,1.5,1.5,0.12,-0.5,"-0.5","FW","MF"
1826,"Adrien Rabiot","FRA","MF","Serie A","Juventus",26,1995,11.1,0,15,4,"26.7","1.35","0.36",0,"0.00",17.2,0,0,0,0.9,0.9,0.06,-0.9,"-0.9","MF",""
1878,"Adrien Silva","POR","MF","Serie A","Sampdoria",32,1989,12,0,8,2,"25.0","0.66","0.17",0,"0.00",24.1,0,0,0,0.3,0.3,0.04,-0.3,"-0.3","MF",""
1907,"Adrien Tameze","CMR","MFDF","Serie A","Hellas Verona",27,1994,12.2,2,8,3,"37.5","0.66","0.25",0.25,"0.67",20,0,0,0,0.4,0.4,0.05,1.6,"+1.6","MF","DF"
2446,"Adrien Thomasson","FRA","MF","Ligue 1","Strasbourg",28,1993,13.1,6,27,10,"37.0","2.06","0.76",0.22,"0.60",15.3,0,0,0,5,5,0.19,1,"+1.0","MF",""
2459,"Adrien Truffert","FRA","DF","Ligue 1","Rennes",20,2001,7.2,2,10,3,"30.0","1.39","0.42",0.2,"0.67",20,0,0,0,0.9,0.9,0.09,1.1,"+1.1","DF",""
825,"Aihen Muñoz","ESP","DF","La Liga","Real Sociedad",24,1997,11.8,0,7,0,"0.0","0.59","0.00",0,NA,25.5,0,0,0,0.2,0.1,0.02,-0.2,"-0.1","DF",""
1875,"Aimar Sher","SWE","MF","Serie A","Spezia",19,2002,0.5,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
2328,"Aimen Moueffek","FRA","MF","Ligue 1","Saint-Étienne",20,2001,2.9,0,4,1,"25.0","1.36","0.34",0,"0.00",26.3,0,0,0,0.1,0.1,0.03,-0.1,"-0.1","MF",""
261,"Ainsley Maitland-Niles","ENG","MF","Premier League","Arsenal",24,1997,3,0,2,0,"0.0","0.67","0.00",0,NA,26.5,0,0,0,0,0,0.02,0,"0.0","MF",""
768,"Aïssa Mandi","ALG","DF","La Liga","Villarreal",30,1991,8,1,5,2,"40.0","0.62","0.25",0.2,"0.50",11.2,0,0,0,1.3,1.3,0.26,-0.3,"-0.3","DF",""
635,"Aitor Fernández","ESP","GK","La Liga","Levante",30,1991,9,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
914,"Aitor Ruibal","ESP","FWDF","La Liga","Betis",25,1996,5.5,0,8,2,"25.0","1.45","0.36",0,"0.00",17,0,0,0,0.5,0.5,0.07,-0.5,"-0.5","FW","DF"
1180,"Ajdin Hrustic","AUS","MF","Bundesliga","Eint Frankfurt",25,1996,4.1,0,11,2,"18.2","2.65","0.48",0,"0.00",25.3,0,0,0,0.3,0.3,0.03,-0.3,"-0.3","MF",""
2476,"Akim Zedadka","FRA","DF","Ligue 1","Clermont Foot",26,1995,17.9,0,15,3,"20.0","0.84","0.17",0,"0.00",24.1,0,0,0,0.6,0.6,0.04,-0.6,"-0.6","DF",""
1335,"Alassane Pléa","FRA","FW","Bundesliga","M'Gladbach",28,1993,10.3,3,30,12,"40.0","2.90","1.16",0.1,"0.25",17.7,0,0,0,3.1,3.1,0.1,-0.1,"-0.1","FW",""
2250,"Alban Lafont","FRA","GK","Ligue 1","Nantes",22,1999,19,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
379,"Albert Sambi Lokonga","BEL","MF","Premier League","Arsenal",22,1999,9.1,0,15,6,"40.0","1.65","0.66",0,"0.00",25.3,0,0,0,0.5,0.5,0.03,-0.5,"-0.5","MF",""
2139,"Alberth Elis","HON","FWMF","Ligue 1","Bordeaux",25,1996,9.3,7,19,8,"42.1","2.05","0.86",0.37,"0.88",12.6,0,0,0,3.9,3.9,0.2,3.1,"+3.1","FW","MF"
1642,"Alberto Grassi","ITA","MF","Serie A","Cagliari",26,1995,8.2,0,7,0,"0.0","0.85","0.00",0,NA,16.8,1,0,0,0.4,0.4,0.06,-0.4,"-0.4","MF",""
816,"Alberto Moreno","ESP","MFDF","La Liga","Villarreal",29,1992,7.9,2,13,7,"53.8","1.64","0.88",0.15,"0.29",17.4,1,0,0,2.2,2.2,0.17,-0.2,"-0.2","MF","DF"
864,"Alberto Perea","ESP","MF","La Liga","Cádiz",31,1990,7.4,0,14,2,"14.3","1.90","0.27",0,"0.00",22.2,1,0,0,0.8,0.8,0.05,-0.8,"-0.8","MF",""
947,"Alberto Soro","ESP","MFFW","La Liga","Granada",22,1999,5.7,0,4,3,"75.0","0.70","0.52",0,"0.00",12.3,0,0,0,0.5,0.5,0.12,-0.5,"-0.5","MF","FW"
1606,"Albin Ekdal","SWE","MF","Serie A","Sampdoria",32,1989,10.4,1,13,2,"15.4","1.25","0.19",0.08,"0.50",13.8,0,0,0,0.6,0.6,0.05,0.4,"+0.4","MF",""
631,"Aleix Febas","ESP","MF","La Liga","Mallorca",25,1996,1.3,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF",""
